datum,innen,aussen
2015-02-12 06:52:27,20625,4500
2015-02-12 06:53:29,20625,4562
2015-02-12 06:54:31,20625,4625
2015-02-12 06:55:33,20625,4625
2015-02-12 06:56:35,20625,4687
2015-02-12 06:57:37,20625,4562
2015-02-12 06:58:39,20625,4562
2015-02-12 06:59:41,20625,4562
2015-02-12 07:00:43,20625,4625
2015-02-12 07:01:45,20625,4687
2015-02-12 07:02:47,20625,4625
2015-02-12 07:03:49,20625,4437
2015-02-12 07:04:51,20625,4312
2015-02-12 07:05:53,20625,4312
2015-02-12 07:06:55,20625,4312
2015-02-12 07:07:57,20625,4437
2015-02-12 07:08:59,20625,4437
2015-02-12 07:10:01,20625,4562
2015-02-12 07:11:04,20625,4625
2015-02-12 07:12:06,20625,4750
2015-02-12 07:13:08,20625,4812
2015-02-12 07:14:10,20625,4812
2015-02-12 07:15:13,20625,4750
2015-02-12 07:16:15,20625,4687
2015-02-12 07:17:17,20625,4625
2015-02-12 07:18:19,20625,4687
2015-02-12 07:19:21,20625,4750
2015-02-12 07:20:23,20625,4750
2015-02-12 07:21:25,20625,4875
2015-02-12 07:22:27,20625,4875
2015-02-12 07:23:29,20625,4812
2015-02-12 07:24:31,20625,4875
2015-02-12 07:25:33,20625,4875
2015-02-12 07:26:35,20625,4812
2015-02-12 07:27:37,20625,4812
2015-02-12 07:28:39,20625,4812
2015-02-12 07:29:41,20625,4812
2015-02-12 07:30:43,20625,4750
2015-02-12 07:31:45,20625,4687
2015-02-12 07:32:47,20625,4687
2015-02-12 07:33:49,20625,4750
2015-02-12 07:34:52,20625,4750
2015-02-12 07:35:54,20625,4812
2015-02-12 07:36:56,20625,4812
2015-02-12 07:37:58,20625,4875
2015-02-12 07:39:00,20625,4875
2015-02-12 07:40:02,20625,4812
2015-02-12 07:41:05,20625,4875
2015-02-12 07:42:07,20625,4687
2015-02-12 07:43:10,20625,4812
2015-02-12 07:44:12,20625,4625
2015-02-12 07:45:14,20625,4750
2015-02-12 07:46:16,20625,4687
2015-02-12 07:47:18,20625,4750
2015-02-12 07:48:20,20625,4750
2015-02-12 07:49:22,20625,4812
2015-02-12 07:50:24,20625,4812
2015-02-12 07:51:27,20687,4875
2015-02-12 07:52:30,20625,4875
2015-02-12 07:53:32,20625,4937
2015-02-12 07:54:34,20625,4937
2015-02-12 07:55:36,20625,5000
2015-02-12 07:56:38,20625,5000
2015-02-12 07:57:40,20625,4875
2015-02-12 07:58:42,20625,4812
2015-02-12 07:59:44,20625,4750
2015-02-12 08:00:46,20625,4687
2015-02-12 08:01:48,20625,4687
2015-02-12 08:02:50,20625,4750
2015-02-12 08:03:52,20625,4875
2015-02-12 08:04:54,20625,4812
2015-02-12 08:05:56,20625,4687
2015-02-12 08:06:58,20625,4687
2015-02-12 08:08:00,20625,4687
2015-02-12 08:09:02,20625,4687
2015-02-12 08:10:05,20625,4750
2015-02-12 08:11:07,20625,4812
2015-02-12 08:12:09,20625,4812
2015-02-12 08:13:11,20625,4875
2015-02-12 08:14:13,20625,4750
2015-02-12 08:15:15,20625,4687
2015-02-12 08:16:17,20625,4625
2015-02-12 08:17:19,20625,4500
2015-02-12 08:18:21,20625,4500
2015-02-12 08:19:23,20625,4562
2015-02-12 08:20:25,20625,4687
2015-02-12 08:21:27,20625,4687
2015-02-12 08:22:29,20625,4687
2015-02-12 08:23:31,20625,4562
2015-02-12 08:24:33,20625,4500
2015-02-12 08:25:35,20625,4562
2015-02-12 08:26:37,20625,4625
2015-02-12 08:27:39,20625,4750
2015-02-12 08:28:41,20625,4625
2015-02-12 08:29:44,20625,4625
2015-02-12 08:30:46,20625,4500
2015-02-12 08:31:48,20625,4500
2015-02-12 08:32:50,20625,4437
2015-02-12 08:33:52,20625,4562
2015-02-12 08:34:54,20625,4500
2015-02-12 08:35:56,20625,4562
2015-02-12 08:36:58,20625,4625
2015-02-12 08:38:00,20625,4750
2015-02-12 08:39:02,20625,4875
2015-02-12 08:40:05,20625,4875
2015-02-12 08:41:07,20625,4937
2015-02-12 08:42:09,20687,5000
2015-02-12 08:43:11,20687,5125
2015-02-12 08:44:13,20750,5187
2015-02-12 08:45:16,20812,5250
2015-02-12 08:46:18,21062,5312
2015-02-12 08:47:20,21312,5312
2015-02-12 08:48:22,21437,5250
2015-02-12 08:49:25,21500,5375
2015-02-12 08:50:27,21562,5375
2015-02-12 08:51:29,21562,5375
2015-02-12 08:52:31,21500,5437
2015-02-12 08:53:33,21562,5437
2015-02-12 08:54:35,21562,5437
2015-02-12 08:55:37,21625,5375
2015-02-12 08:56:39,21625,5437
2015-02-12 08:57:41,22062,5500
2015-02-12 08:58:43,22000,5625
2015-02-12 08:59:45,21937,5687
2015-02-12 09:00:47,21937,5687
2015-02-12 09:01:49,21875,5687
2015-02-12 09:02:51,21812,5750
2015-02-12 09:03:53,21812,5625
2015-02-12 09:04:55,21812,5625
2015-02-12 09:05:57,21812,5625
2015-02-12 09:06:59,21875,5562
2015-02-12 09:08:01,21937,5625
2015-02-12 09:09:03,22062,5562
2015-02-12 09:10:05,22250,5625
2015-02-12 09:11:07,22562,5625
2015-02-12 09:12:09,22812,5687
2015-02-12 09:13:11,23062,5625
2015-02-12 09:14:14,23062,5687
2015-02-12 09:15:16,23125,5625
2015-02-12 09:16:18,23125,5562
2015-02-12 09:17:20,23250,5625
2015-02-12 09:18:23,22875,5687
2015-02-12 09:19:25,22687,5687
2015-02-12 09:20:27,22687,5750
2015-02-12 09:21:29,22625,5687
2015-02-12 09:22:31,22500,5750
2015-02-12 09:23:33,22375,5812
2015-02-12 09:24:35,22312,5687
2015-02-12 09:25:37,22250,5625
2015-02-12 09:26:39,22187,5562
2015-02-12 09:27:41,22125,5625
2015-02-12 09:28:43,22062,5437
2015-02-12 09:29:45,22000,5562
2015-02-12 09:30:47,22000,5562
2015-02-12 09:31:49,22000,5625
2015-02-12 09:32:51,21875,5562
2015-02-12 09:33:53,21875,5562
2015-02-12 09:34:55,21875,5500
2015-02-12 09:35:57,21812,5562
