datum,innen_min,aussen_min,innen_max,aussen_max,innen_avg,aussen_avg
2014-07-19 23:59:42,24875,24687,25312,30687,25080,27257
2014-07-20 23:59:44,24625,21437,25687,41437,24954,27656
2014-07-21 23:59:20,25125,22250,25500,38125,25317,26901
2014-07-22 23:59:09,20812,21312,25875,40875,25145,26262
2014-07-23 23:59:57,24937,20187,26000,40062,25291,25373
2014-07-24 23:59:46,23562,18312,25312,24437,24866,21928
2014-07-25 23:59:47,24125,18875,25125,25625,24469,21677
2014-07-26 23:59:11,24125,19000,25562,42875,24579,24658
2014-07-27 23:59:16,24500,21812,26187,36750,24997,25957
2014-07-28 23:59:47,24812,22000,25125,35562,24883,25384
2014-07-29 23:58:58,24750,21437,25187,32125,24955,24134
2014-07-30 23:59:05,24875,20062,25062,31250,24979,23662
2014-07-31 23:59:55,24687,18625,25187,39250,24806,22651
2014-08-01 23:59:22,24062,19562,25437,33312,24652,23894
2014-08-02 23:59:27,24562,21437,26125,35312,25082,25058
2014-08-03 23:59:42,24875,22750,26312,37562,25401,24929
2014-08-04 23:59:32,24875,20812,25562,24687,25221,22886
2014-08-05 23:59:27,24312,19687,25062,26812,24680,21934
2014-08-06 23:59:43,23812,19062,25250,37375,24363,22826
2014-08-07 19:43:43,23562,18375,25312,26250,24040,22281
2014-08-23 23:59:25,20125,16437,21875,85000,20513,19562
2014-08-24 23:59:29,20062,13875,20812,29625,20386,16974
2014-08-25 23:59:42,19437,13500,20625,23500,19979,17224
2014-08-26 23:59:57,19500,14437,20312,26625,19916,18136
2014-08-27 23:59:25,19500,13187,20312,28750,19867,18186
2014-08-28 23:59:18,19625,13937,20312,37000,19854,19652
2014-08-29 23:59:22,19812,15500,20500,85000,20238,19006
2014-08-30 23:59:00,20250,16500,25687,25187,21024,19236
2014-08-31 23:59:29,21500,16500,23000,20750,21657,18084
2014-09-01 23:59:20,21437,15125,21562,18625,21524,16830
2014-09-02 23:59:39,21312,15000,22187,20937,21502,17204
2014-09-03 23:59:35,21250,15312,22187,21750,21419,18089
2014-09-04 23:59:51,21125,14187,21312,23375,21225,18822
2014-09-05 23:59:15,21125,16000,22062,25125,21355,20492
2014-09-06 23:59:44,21375,16500,22250,26000,21615,21123
2014-09-07 23:59:05,21750,17562,23812,26312,21943,20883
2014-09-08 23:59:58,22125,18500,22437,24562,22200,20624
2014-09-09 23:59:33,21875,16062,23000,21875,22129,18499
2014-09-10 23:58:59,21937,14625,23312,19125,22109,16846
2014-09-11 23:59:26,21312,12937,23250,18937,21880,15419
2014-09-12 23:59:18,21375,14562,22500,18687,21835,16764
2014-09-13 23:59:30,21625,17375,22000,19687,21810,18344
2014-09-14 23:59:20,21625,16875,22375,20750,21883,18595
2014-09-15 23:59:52,21562,17000,22000,24937,21773,20718
2014-09-16 23:59:53,21687,16500,22375,24937,21796,20160
2014-09-17 23:59:31,21687,15125,22687,23687,21869,19216
2014-09-18 23:59:44,21750,14875,22562,24562,21962,19219
2014-09-19 23:59:12,21812,15250,22375,85000,21919,17617
2014-09-20 23:59:04,21812,15250,22562,20937,21930,17734
2014-09-21 23:59:05,21875,15687,23562,85000,21993,17986
2014-09-22 23:59:03,21812,12625,22187,17812,21961,14594
2014-09-23 23:59:52,21750,11062,23125,16187,21930,13266
2014-09-24 23:59:42,21875,10937,23625,17125,22377,13945
2014-09-25 23:59:13,21625,12500,22875,17625,21782,14667
2014-09-26 23:59:58,21437,14062,23062,85000,21742,15709
2014-09-27 23:59:15,21437,13375,22062,19812,21668,16279
2014-09-28 23:58:58,21312,10937,22687,20500,21568,15334
2014-09-29 23:59:44,21125,12562,22687,22000,21485,17191
2014-09-30 23:59:02,20937,16062,21625,20000,21052,17872
2014-10-01 23:59:54,21000,15500,22437,21187,21202,17593
2014-10-02 23:59:30,21125,15250,22312,20750,21206,17765
2014-10-03 23:58:31,21062,13375,21812,19937,21245,16594
2014-10-04 23:59:53,21312,11250,22500,19187,21506,14933
2014-10-05 23:59:58,21187,9812,23000,18562,21534,14086
2014-10-06 23:59:11,21500,11812,22437,19000,21803,14544
2014-10-07 23:59:50,21500,11875,23000,17250,21708,14451
2014-10-08 23:59:44,21375,13312,22250,18625,21606,15737
2014-10-09 23:59:07,21062,14812,21750,21125,21393,17600
2014-10-10 23:59:04,21000,15062,21812,19375,21099,17084
2014-10-11 23:59:44,21062,14437,22437,17500,21442,15809
2014-10-12 23:59:34,21500,13875,23000,18500,21778,16187
2014-10-13 22:37:54,21500,13312,21937,19687,21704,16213
2014-10-14 23:59:42,21250,15250,22250,16875,21617,16188
2014-10-15 23:59:06,21312,14125,22875,18750,21504,16054
2014-10-16 23:59:11,21375,12750,21812,15562,21606,14182
2014-10-17 23:59:48,21437,13437,22125,17812,21602,15312
2014-10-18 23:59:28,21437,13312,22437,17125,21602,14905
2014-10-19 23:59:28,21250,12375,22937,20875,21498,16497
2014-10-20 23:59:50,21187,14437,22000,17437,21284,15953
2014-10-21 23:59:01,21500,13000,22562,16187,21863,14455
2014-10-22 23:59:03,21625,10500,22750,13875,22007,11904
2014-10-23 23:59:28,21875,10875,22375,13375,22062,12385
2014-10-24 23:59:28,21687,8500,23750,13437,22268,10295
2014-10-25 23:59:59,21062,6062,23375,11375,21975,8789
2014-10-26 23:59:51,21187,10687,22500,14500,21741,12376
2014-10-27 23:59:45,21500,9500,24125,16187,21790,12914
2014-10-28 23:59:11,21687,6562,23437,13000,22034,9891
2014-10-29 23:59:16,21875,6187,23312,11812,22246,9119
2014-10-30 23:59:22,22000,10312,22812,12875,22243,11360
2014-10-31 23:59:51,21750,10000,22937,15687,21985,12418
2014-11-01 23:59:57,21625,11937,22812,17000,21815,13817
2014-11-02 23:59:09,21562,9875,22875,17375,21881,13078
2014-11-03 23:58:58,21687,11750,22250,17500,21888,14025
